HOUR,CELL LINE,CELLS
24,O8,15
24,O8,15
24,O8,21
24,O8,16
24,O8,20
24,O8,24
24,O8,15
24,O8,16
24,O8,14
24,O8,13
24,O8,16
24,O8,11
24,O8,15
24,O8,20
24,O8,17
24,O8,9
24,O8,26
24,O8,7
24,O8,8
24,O8,11
24,O8,9
24,O8,11
24,O8,15
24,O8,16
24,O8,23
24,O8,0
24,O8,1
24,O8,7
24,O8,9
24,O8,4
24,O8,5
24,O8,1
24,O8,9
24,O8,1
24,O8,3
24,O8,7
24,O8,4
24,O8,3
24,O8,4
24,O8,6
24,O8,7
24,O8,5
24,O8,7
24,O8,9
24,O8,8
24,O8,5
24,O8,6
24,O8,1
24,O8,1
24,O8,2
24,O8,4
24,O8,3
24,O8,0
24,O8,5
24,O8,3
24,O8,0
24,O8,5
24,O8,2
24,O8,3
24,O8,2
24,O8,3
24,O8,4
24,O8,3
24,O8,5
24,O8,3
24,O8,5
24,O8,4
24,O8,3
24,O8,2
24,O8,2
24,O8,3
24,O8,6
24,O8,3
24,O8,54
24,O8,22
24,WH,7
24,WH,5
24,WH,8
24,WH,8
24,WH,5
24,WH,5
24,WH,4
24,WH,7
24,WH,11
24,WH,6
24,WH,5
24,WH,6
24,WH,4
24,WH,4
24,WH,7
24,WH,7
24,WH,4
24,WH,6
24,WH,11
24,WH,10
24,WH,7
24,WH,5
24,WH,5
24,WH,3
24,WH,3
24,WH,2
24,WH,6
24,WH,2
24,WH,6
24,WH,8
24,WH,4
24,WH,6
24,WH,5
24,WH,7
24,WH,4
24,WH,3
24,WH,5
24,WH,5
24,WH,3
24,WH,10
24,WH,2
24,WH,4
24,WH,6
24,WH,8
24,WH,3
24,WH,6
24,WH,3
24,WH,4
24,WH,2
24,WH,3
24,WH,11
24,WH,10
24,WH,15
24,WH,8
24,WH,16
24,WH,10
24,WH,11
24,WH,9
24,WH,9
24,WH,10
24,WH,7
24,WH,7
24,WH,10
24,WH,15
24,WH,13
24,WH,7
24,WH,4
24,WH,7
24,WH,6
24,WH,12
24,WH,12
24,WH,9
24,WH,8
24,WH,11
24,WH,7
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,2
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,WH,2
48,WH,0
48,WH,1
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,1
48,WH,1
48,WH,1
48,WH,0
48,WH,0
48,WH,1
48,WH,1
48,WH,2
48,WH,0
48,WH,1
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,1
48,WH,1
48,WH,0
48,WH,1
48,WH,1
48,WH,1
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,1
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,2
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,1
48,WH,1
48,WH,2
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,3
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,10
72,O8,8
72,O8,0
72,O8,0
72,O8,0
72,O8,5
72,O8,15
72,O8,0
72,O8,0
72,O8,0
72,O8,2
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,3
72,O8,4
72,O8,0
72,O8,0
72,O8,6
72,O8,2
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,9
72,WH,17
72,WH,26
72,WH,14
72,WH,32
72,WH,42
72,WH,39
72,WH,33
72,WH,40
72,WH,36
72,WH,43
72,WH,41
72,WH,14
72,WH,23
72,WH,15
72,WH,26
72,WH,30
72,WH,35
72,WH,29
72,WH,17
72,WH,8
72,WH,12
72,WH,13
72,WH,5
72,WH,5
72,WH,11
72,WH,2
72,WH,8
72,WH,1
72,WH,2
72,WH,2
72,WH,4
72,WH,3
72,WH,2
72,WH,1
72,WH,3
72,WH,2
72,WH,2
72,WH,1
72,WH,3
72,WH,3
72,WH,0
72,WH,2
72,WH,3
72,WH,2
72,WH,1
72,WH,1
72,WH,1
72,WH,4
72,WH,3
72,WH,0
72,WH,25
72,WH,33
72,WH,14
72,WH,11
72,WH,19
72,WH,10
72,WH,35
72,WH,9
72,WH,22
72,WH,13
72,WH,32
72,WH,16
72,WH,13
72,WH,24
72,WH,6
72,WH,8
72,WH,19
72,WH,14
72,WH,17
72,WH,11
72,WH,15
72,WH,8
72,WH,24
72,WH,23
72,WH,18
