HOUR,CELLLINE,CELLS
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,1
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,1
24,O8,1
24,O8,0
24,O8,0
24,O8,2
24,O8,1
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,1
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,1
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,WH,10
24,WH,2
24,WH,5
24,WH,3
24,WH,1
24,WH,1
24,WH,6
24,WH,2
24,WH,5
24,WH,2
24,WH,4
24,WH,6
24,WH,0
24,WH,6
24,WH,6
24,WH,3
24,WH,6
24,WH,3
24,WH,5
24,WH,7
24,WH,2
24,WH,7
24,WH,4
24,WH,4
24,WH,9
24,WH,2
24,WH,2
24,WH,0
24,WH,1
24,WH,2
24,WH,2
24,WH,0
24,WH,3
24,WH,1
24,WH,0
24,WH,2
24,WH,1
24,WH,3
24,WH,1
24,WH,0
24,WH,1
24,WH,2
24,WH,4
24,WH,0
24,WH,1
24,WH,2
24,WH,1
24,WH,0
24,WH,1
24,WH,2
24,WH,3
24,WH,0
24,WH,2
24,WH,4
24,WH,4
24,WH,4
24,WH,6
24,WH,1
24,WH,1
24,WH,3
24,WH,6
24,WH,2
24,WH,5
24,WH,3
24,WH,3
24,WH,5
24,WH,6
24,WH,1
24,WH,5
24,WH,5
24,WH,5
24,WH,8
24,WH,3
24,WH,2
24,WH,5
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,3
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,2
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,3
48,O8,1
48,O8,0
48,O8,1
48,O8,0
48,O8,2
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,1
48,O8,1
48,O8,0
48,O8,2
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,1
48,O8,1
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,0
48,O8,1
48,O8,1
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,0
48,O8,1
48,O8,0
48,O8,1
48,O8,1
48,WH,5
48,WH,10
48,WH,7
48,WH,8
48,WH,5
48,WH,5
48,WH,3
48,WH,5
48,WH,10
48,WH,3
48,WH,7
48,WH,4
48,WH,8
48,WH,7
48,WH,3
48,WH,5
48,WH,8
48,WH,8
48,WH,8
48,WH,5
48,WH,5
48,WH,9
48,WH,8
48,WH,6
48,WH,5
48,WH,2
48,WH,2
48,WH,2
48,WH,3
48,WH,1
48,WH,4
48,WH,0
48,WH,0
48,WH,5
48,WH,3
48,WH,3
48,WH,6
48,WH,4
48,WH,3
48,WH,2
48,WH,4
48,WH,2
48,WH,4
48,WH,1
48,WH,0
48,WH,2
48,WH,2
48,WH,1
48,WH,2
48,WH,3
48,WH,8
48,WH,4
48,WH,14
48,WH,9
48,WH,7
48,WH,7
48,WH,8
48,WH,8
48,WH,5
48,WH,12
48,WH,9
48,WH,11
48,WH,9
48,WH,13
48,WH,4
48,WH,8
48,WH,9
48,WH,8
48,WH,4
48,WH,5
48,WH,10
48,WH,8
48,WH,7
48,WH,6
48,WH,5
72,O8,1
72,O8,0
72,O8,2
72,O8,1
72,O8,1
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,2
72,O8,1
72,O8,0
72,O8,0
72,O8,2
72,O8,0
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,3
72,O8,1
72,O8,2
72,O8,1
72,O8,1
72,O8,4
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,2
72,O8,0
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,2
72,O8,1
72,O8,2
72,O8,1
72,O8,2
72,O8,1
72,O8,2
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,2
72,O8,0
72,O8,0
72,O8,1
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,WH,2
72,WH,2
72,WH,1
72,WH,1
72,WH,4
72,WH,5
72,WH,4
72,WH,4
72,WH,0
72,WH,3
72,WH,3
72,WH,1
72,WH,1
72,WH,0
72,WH,2
72,WH,0
72,WH,1
72,WH,0
72,WH,4
72,WH,0
72,WH,2
72,WH,1
72,WH,1
72,WH,1
72,WH,2
72,WH,5
72,WH,3
72,WH,2
72,WH,5
72,WH,3
72,WH,4
72,WH,3
72,WH,2
72,WH,4
72,WH,6
72,WH,1
72,WH,4
72,WH,1
72,WH,0
72,WH,1
72,WH,2
72,WH,0
72,WH,0
72,WH,1
72,WH,3
72,WH,0
72,WH,2
72,WH,3
72,WH,0
72,WH,2
72,WH,4
72,WH,5
72,WH,1
72,WH,0
72,WH,3
72,WH,1
72,WH,5
72,WH,2
72,WH,2
72,WH,3
72,WH,4
72,WH,1
72,WH,2
72,WH,8
72,WH,0
72,WH,4
72,WH,4
72,WH,5
72,WH,4
72,WH,4
72,WH,6
72,WH,0
72,WH,3
72,WH,4
72,WH,3
