HOUR,CELLLINE,CELLS
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,O8,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,1
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
24,WH,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,O8,0
48,WH,0
48,WH,2
48,WH,0
48,WH,0
48,WH,2
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,2
48,WH,0
48,WH,0
48,WH,2
48,WH,0
48,WH,0
48,WH,1
48,WH,2
48,WH,1
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,1
48,WH,0
48,WH,0
48,WH,0
48,WH,1
48,WH,0
48,WH,2
48,WH,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,1
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,O8,0
72,WH,4
72,WH,4
72,WH,5
72,WH,3
72,WH,0
72,WH,0
72,WH,3
72,WH,4
72,WH,2
72,WH,1
72,WH,1
72,WH,1
72,WH,2
72,WH,5
72,WH,2
72,WH,3
72,WH,4
72,WH,7
72,WH,3
72,WH,9
72,WH,3
72,WH,6
72,WH,8
72,WH,7
72,WH,5
72,WH,1
72,WH,1
72,WH,2
72,WH,1
72,WH,1
72,WH,0
72,WH,1
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,2
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,0
72,WH,2
72,WH,4
72,WH,1
72,WH,5
72,WH,5
72,WH,1
72,WH,8
72,WH,3
72,WH,4
72,WH,4
72,WH,2
72,WH,0
72,WH,0
72,WH,6
72,WH,1
72,WH,4
72,WH,3
72,WH,2
72,WH,0
72,WH,1
72,WH,4
72,WH,1
72,WH,4
72,WH,1
72,WH,1
72,WH,0
