HOUR,TREATMENT,CELLS
24,BW,0
24,BW,0
24,BW,1
24,BW,0
24,BW,0
24,BW,1
24,BW,1
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,1
24,BW,0
24,BW,1
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,1
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,1
24,BW,0
24,BW,0
24,BW,2
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,2
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,1
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,BW,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,1
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,2
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
24,SF,0
48,BW,3
48,BW,1
48,BW,0
48,BW,0
48,BW,0
48,BW,4
48,BW,0
48,BW,0
48,BW,1
48,BW,0
48,BW,4
48,BW,1
48,BW,1
48,BW,0
48,BW,7
48,BW,3
48,BW,6
48,BW,0
48,BW,3
48,BW,1
48,BW,0
48,BW,0
48,BW,0
48,BW,2
48,BW,0
48,BW,1
48,BW,3
48,BW,1
48,BW,1
48,BW,4
48,BW,1
48,BW,3
48,BW,4
48,BW,1
48,BW,2
48,BW,0
48,BW,0
48,BW,3
48,BW,0
48,BW,1
48,BW,0
48,BW,1
48,BW,2
48,BW,1
48,BW,5
48,BW,0
48,BW,1
48,BW,4
48,BW,1
48,BW,0
48,BW,0
48,BW,0
48,BW,4
48,BW,1
48,BW,0
48,BW,1
48,BW,5
48,BW,0
48,BW,3
48,BW,2
48,BW,0
48,BW,5
48,BW,3
48,BW,0
48,BW,0
48,BW,0
48,BW,2
48,BW,1
48,BW,6
48,BW,1
48,BW,3
48,BW,0
48,BW,3
48,BW,0
48,BW,0
48,SF,
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
48,SF,0
72,BW,0
72,BW,0
72,BW,0
72,BW,7
72,BW,8
72,BW,12
72,BW,6
72,BW,7
72,BW,3
72,BW,1
72,BW,1
72,BW,2
72,BW,1
72,BW,2
72,BW,0
72,BW,0
72,BW,4
72,BW,0
72,BW,6
72,BW,7
72,BW,0
72,BW,0
72,BW,0
72,BW,0
72,BW,2
72,BW,1
72,BW,3
72,BW,4
72,BW,9
72,BW,11
